height,nonce
1661475,1789705664
1661476,55434
1661477,4186054
1661478,252950746
1661479,116416
1661480,2852330470
1661481,1347223
1661482,3850371294
1661483,4144019540
1661484,196747
1661485,822876
1661486,2863332799
1661487,1282386
1661488,859078640
1661489,1073745687
1661490,84
1661491,52783
1661492,131356
1661493,3865471341
1661494,3018243
1661495,2353005005
1661496,33634
1661497,2541755134
1661498,1201740494
1661499,3849
1661500,369283406
1661501,348129163
1661502,3681401011
1661503,1423809
1661504,214232
1661505,1295208762
1661506,413908
1661507,33909
1661508,1718021086
1661509,1363575
1661510,906072200
1661511,1375752750
1661512,167053
1661513,14857
1661514,137911
1661515,11230000
1661516,2073663901
1661517,103048
1661518,3657486192
1661519,19494
1661520,3441
1661521,588394437
1661522,2301
1661523,3998571617
1661524,1786874
1661525,6358748
1661526,1431659536
1661527,779026
1661528,406123
1661529,3841982646
1661530,2725254096
1661531,82186
1661532,1992551531
1661533,2186802
1661534,23143
1661535,16392
1661536,742
1661537,300731
1661538,11186663
1661539,63096
1661540,4060089131
1661541,396407
1661542,12623220
1661543,3307
1661544,868277
1661545,1561122019
1661546,2386093052
1661547,1073754534
1661548,819856152
1661549,4063
1661550,59899
1661551,2386097727
1661552,66944
1661553,3775488041
1661554,2147483856
1661555,3681402127
1661556,2400128656
1661557,1431690952
1661558,116571
1661559,10509531
1661560,591306
1661561,2258956
1661562,19085
1661563,545270115
1661564,411103
1661565,802428
1661566,2117391
1661567,338999
1661568,1226703
1661569,1515174838
1661570,460802
1661571,1321230
1661572,25615
1661573,10285
1661574,4161
1661575,178959265
1661576,2852173624
1661577,785875
1661578,2306637
1661579,1980924
1661580,2131546
1661581,1846788961
1661582,217009
1661583,449743
1661584,1220544261
1661585,2620374
1661586,604842
1661587,7251873
1661588,595610521
1661589,161517
1661590,3640997
1661591,17810
1661592,1073746193
1661593,5708
1661594,2516582630
1661595,1073748947
1661596,193214364
1661597,3221248817
1661598,12998
1661599,14363
1661600,2973466078
1661601,6787
1661602,1073744528
1661603,152124
1661604,2576981037
1661605,51752
1661606,52971
1661607,1610613930
1661608,2892392901
1661609,48593
1661610,1284929
1661611,538996
1661612,47527
1661613,162400
1661614,1954546959
1661615,1157849268
1661616,2147487023
1661617,3651845077
1661618,378
1661619,67293
1661620,1431655906
1661621,4044252663
1661622,5508718
1661623,2684372377
1661624,4222839
1661625,3528008958
1661626,3211555
1661627,87012
1661628,1158039709
1661629,1706802
1661630,1158677817
1661631,3583614334
1661632,1113884865
1661633,297560
1661634,1431662526
1661635,1526754441
1661636,5587
1661637,95812
1661638,8489723
1661639,4466177
1661640,2514908130
1661641,1962934477
1661642,11461
1661643,1996791645
1661644,131947
1661645,31386
1661646,1359061342
1661647,28229
1661648,3696982830
1661649,1247396263
1661650,63845
1661651,4056363783
1661652,8083
1661653,1073783472
1661654,480707
1661655,149222
1661656,3876
1661657,39653
1661658,6330
1661659,4083584631
1661660,2576987120
1661661,425190492
1661662,2147499645
1661663,1477233
1661664,1233359049
1661665,26788
1661666,50275
1661667,10557684
1661668,4032628567
1661669,234601
1661670,206694
1661671,2323645351
1661672,1018091
1661673,2717914873
1661674,67181
1661675,151021097
1661676,698375
1661677,5609725
1661678,70610
1661679,212408
1661680,306080364
1661681,2505397631
1661682,3489841814
1661683,2415981061
1661684,2600705655
1661685,5179
1661686,7064822
1661687,4857
1661688,1073765037
1661689,2928389007
1661690,916695
1661691,466408909
1661692,132152
1661693,3649
1661694,3303859772
1661695,95136
1661696,1333440354
1661697,8391953
1661698,1543504445
1661699,1677372
1661700,165879
1661701,415132
1661702,381682571
1661703,2533405828
1661704,4249885636
1661705,3523276874
1661706,93764
1661707,188604
1661708,39647
1661709,387695
1661710,54526761
1661711,453228129
1661712,8425
1661713,1367343287
1661714,2084718655
1661715,627787862
1661716,813145
1661717,335917
1661718,1996848
1661719,176
1661720,1449420
1661721,1426066208
1661722,1562840376
1661723,1493769728
1661724,3628809641
1661725,1193195628
1661726,1328
1661727,1182313
1661728,297812344
1661729,251765122
1661730,2576982607
1661731,45106
1661732,1073744128
1661733,1879049028
1661734,3937054969
1661735,263360119
1661736,1931486114
1661737,3305134514
1661738,1107306856
1661739,3389011935
1661740,705105
1661741,24716
1661742,285213087
1661743,3943049817
1661744,2684378444
1661745,1449
1661746,4245538799
1661747,966116
1661748,19151
1661749,70308
1661750,3552088
1661751,3937061201
1661752,494300924
1661753,383813
1661754,3428844467
1661755,243
1661756,25296
1661757,4253039800
1661758,2453667999
1661759,28714
1661760,509102769
1661761,101220
1661762,152962992
1661763,13485493
1661764,10690623
1661765,3373275
1661766,269449
1661767,46955
1661768,596992
1661769,3277435915
1661770,12416000
1661771,2214636669
1661772,2904176714
1661773,43918
1661774,52562
1661775,2248240837
1661776,13987586
1661777,2656398272
1661778,2863312466
1661779,3686412139
1661780,3579140029
1661781,2734
1661782,1789595321
1661783,2863331890
1661784,5116608
1661785,294240038
1661786,1610615526
1661787,10790
1661788,1746621208
1661789,859018463
1661790,9614
1661791,11187473
1661792,542498
1661793,106569
1661794,19553
1661795,322856
1661796,3221242146
1661797,1191193105
1661798,448390
1661799,2785029709
1661800,524266
1661801,4227978254
1661802,3694134896
1661803,3579148131
1661804,746588127
1661805,201987
1661806,3435994900
1661807,2863311636
